striatum	other	n_subjects	sum_n_total	sum_n_gp	pooled_frac_gp	mean_frac_gp	sd_frac_gp
aCAU-lh	R-MFG	96	17389	0	0.0	0.0	0.0
pCAU-rh	L-PT	76	463	0	0.0	0.0	0.0
aCAU-lh	L-IFGo	97	39073	0	0.0	0.0	0.0
pCAU-lh	L-ACC	97	4411	0	0.0	0.0	0.0
pCAU-rh	L-PP	76	577	0	0.0	0.0	0.0
pCAU-lh	L-STGp	89	1697	0	0.0	0.0	0.0
aCAU-rh	L-PT	38	100	0	0.0	0.0	0.0
aCAU-lh	R-IFGt	91	5139	0	0.0	0.0	0.0
aCAU-lh	R-IFGo	94	4038	0	0.0	0.0	0.0
pCAU-lh	R-SFG	97	215992	0	0.0	0.0	0.0
pCAU-lh	R-FP	97	92164	0	0.0	0.0	0.0
aCAU-rh	L-FO	92	2188	0	0.0	0.0	0.0
pCAU-rh	R-OccPole	71	1817	0	0.0	0.0	0.0
pCAU-lh	L-LOCsup	97	67515	0	0.0	0.0	0.0
pCAU-rh	L-FMC	30	274	0	0.0	0.0	0.0
pPUT-rh	L-OccPole	12	135	0	0.0	0.0	0.0
pCAU-lh	R-MFG	97	54947	0	0.0	0.0	0.0
pCAU-lh	L-IFGo	97	139639	0	0.0	0.0	0.0
pCAU-lh	R-IFGt	91	5234	0	0.0	0.0	0.0
pCAU-rh	R-FMC	51	654	0	0.0	0.0	0.0
pCAU-lh	L-IFGt	97	56972	0	0.0	0.0	0.0
pCAU-lh	L-OccPole	77	2942	0	0.0	0.0	0.0
pCAU-lh	R-FO	95	5159	0	0.0	0.0	0.0
pCAU-lh	L-SupraCalc	96	909	0	0.0	0.0	0.0
pCAU-lh	R-LOCsup	44	381	0	0.0	0.0	0.0
aCAU-lh	R-LOCsup	35	62	0	0.0	0.0	0.0
pCAU-rh	L-LOCsup	72	940	0	0.0	0.0	0.0
pCAU-rh	L-HG	47	147	0	0.0	0.0	0.0
pCAU-lh	R-OccFus	4	4	0	0.0	0.0	0.0
aCAU-rh	L-HG	33	69	0	0.0	0.0	0.0
pCAU-rh	L-IntraCalc	14	34	0	0.0	0.0	0.0
aCAU-lh	R-LOCinf	2	2	0	0.0	0.0	0.0
pCAU-lh	R-SupraCalc	24	68	0	0.0	0.0	0.0
pCAU-lh	R-STGp	15	41	0	0.0	0.0	0.0
pCAU-rh	L-STGp	1	3	0	0.0	0.0	0.0
pCAU-rh	L-LOCinf	8	22	0	0.0	0.0	0.0
aCAU-lh	L-OccPole	3	7	0	0.0	0.0	0.0
aPUT-lh	R-OccPole	5	5	0	0.0	0.0	0.0
pCAU-lh	R-OccPole	2	2	0	0.0	0.0	0.0
pPUT-rh	L-STGp	5	6	0	0.0	0.0	0.0
aCAU-rh	L-STGp	2	2	0	0.0	0.0	0.0
pPUT-rh	L-LOCinf	3	3	0	0.0	0.0	0.0
pCAU-lh	R-LOCinf	6	11	0	0.0	0.0	0.0
aCAU-lh	R-STGa	5	5	0	0.0	0.0	0.0
pPUT-lh	R-LOCinf	1	1	0	0.0	0.0	0.0
pCAU-lh	R-STGa	3	34	0	0.0	0.0	0.0
aCAU-rh	L-STGa	5	7	0	0.0	0.0	0.0
pCAU-rh	L-OccPole	1	1	0	0.0	0.0	0.0
aPUT-rh	L-OccPole	1	2	0	0.0	0.0	0.0
