source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_ROI	661.84	4	396	p < .001	p < .001	0.870	0.463	F(1.85, 183.32) = 661.84, p < .001 (GG ε=0.46), ηp² = .87
Rostral_Caudal	578.45	1	99	p < .001	p < .001	0.854	1.000	F(1, 99) = 578.45, p < .001, ηp² = .85
Cortex_ROI * Rostral_Caudal	48.79	4	396	p < .001	p < .001	0.330	0.766	F(3.07, 303.53) = 48.79, p < .001 (GG ε=0.77), ηp² = .33
