source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_ROI	451.79	4	396	p < .001	p < .001	0.820	0.514	F(2.05, 203.41) = 451.79, p < .001 (GG ε=0.51), ηp² = .82
Rostral_Caudal	754.55	1	99	p < .001	p < .001	0.884	1.000	F(1, 99) = 754.55, p < .001, ηp² = .88
Cortex_ROI * Rostral_Caudal	839.18	4	396	p < .001	p < .001	0.894	0.610	F(2.44, 241.66) = 839.18, p < .001 (GG ε=0.61), ηp² = .89
