source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_ROI	192.09	4	384	p < .001	p < .001	0.667	0.563	F(2.25, 216.09) = 192.09, p < .001 (GG ε=0.56), ηp² = .67
Rostral_Caudal	142.02	1	96	p < .001	p < .001	0.597	1.000	F(1, 96) = 142.02, p < .001, ηp² = .60
Cortex_ROI * Rostral_Caudal	362.76	4	384	p < .001	p < .001	0.791	0.474	F(1.90, 181.96) = 362.76, p < .001 (GG ε=0.47), ηp² = .79
