source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_ROI	628.41	4	384	p < .001	p < .001	0.867	0.458	F(1.83, 175.74) = 628.41, p < .001 (GG ε=0.46), ηp² = .87
Caudate_Putamen	1912.53	1	96	p < .001	p < .001	0.952	1.000	F(1, 96) = 1912.53, p < .001, ηp² = .95
Cortex_ROI * Caudate_Putamen	53.68	4	384	p < .001	p < .001	0.359	0.699	F(2.79, 268.27) = 53.68, p < .001 (GG ε=0.70), ηp² = .36
