source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_ROI	418.66	4	384	p < .001	p < .001	0.813	0.514	F(2.06, 197.55) = 418.66, p < .001 (GG ε=0.51), ηp² = .81
Rostral_Caudal	810.03	1	96	p < .001	p < .001	0.894	1.000	F(1, 96) = 810.03, p < .001, ηp² = .89
Cortex_ROI * Rostral_Caudal	762.06	4	384	p < .001	p < .001	0.888	0.592	F(2.37, 227.46) = 762.06, p < .001 (GG ε=0.59), ηp² = .89
