source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_Category	83.37	2	192	p < .001	p < .001	0.465	0.697	F(1.39, 133.83) = 83.37, p < .001 (GG ε=0.70), ηp² = .46
Caudate_Putamen	1230.08	1	96	p < .001	p < .001	0.928	1.000	F(1, 96) = 1230.08, p < .001, ηp² = .93
Cortex_Category * Caudate_Putamen	190.94	2	192	p < .001	p < .001	0.665	0.862	F(1.72, 165.44) = 190.94, p < .001 (GG ε=0.86), ηp² = .67
