source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Hierarchy	725.66	2	192	p < .001	p < .001	0.883	0.687	F(1.37, 131.92) = 725.66, p < .001 (GG ε=0.69), ηp² = .88
Caudate_Putamen	2493.75	1	96	p < .001	p < .001	0.963	1.000	F(1, 96) = 2493.75, p < .001, ηp² = .96
Hierarchy * Caudate_Putamen	475.81	2	192	p < .001	p < .001	0.832	0.727	F(1.45, 139.62) = 475.81, p < .001 (GG ε=0.73), ηp² = .83
