source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Hierarchy	622.89	3.0	288.0	p < .001				F(3, 288) = 622.89, p < .001
Caudate_Putamen	2604.20	1.0	96.0	p < .001				F(1, 96) = 2604.20, p < .001
Rostral_Caudal	1394.13	1.0	96.0	p < .001				F(1, 96) = 1394.13, p < .001
Hierarchy:Caudate_Putamen	423.93	3.0	288.0	p < .001				F(3, 288) = 423.93, p < .001
Hierarchy:Rostral_Caudal	793.84	3.0	288.0	p < .001				F(3, 288) = 793.84, p < .001
Caudate_Putamen:Rostral_Caudal	1136.78	1.0	96.0	p < .001				F(1, 96) = 1136.78, p < .001
Hierarchy:Caudate_Putamen:Rostral_Caudal	598.82	3.0	288.0	p < .001				F(3, 288) = 598.82, p < .001
