Contrast	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Hierarchy	Extrastriate	Primary	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Hierarchy	Extrastriate	Ventral	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Hierarchy	Primary	Ventral	1630.0	p = .007	p = .007	W = 1630.0, p = .007	W = 1630.0, q = .007
Rostral_Caudal	Caudal	Rostral	0.0	p < .001	n/a	W = 0.0, p < .001	W = 0.0
Hierarchy * Rostral_Caudal	Caudal	Rostral	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Hierarchy * Rostral_Caudal	Caudal	Rostral	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Hierarchy * Rostral_Caudal	Caudal	Rostral	785.0	p < .001	p < .001	W = 785.0, p < .001	W = 785.0, q < .001
