source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Hierarchy	689.10	2	192	p < .001	p < .001	0.878	0.867	F(1.73, 166.54) = 689.10, p < .001 (GG ε=0.87), ηp² = .88
Caudate_Putamen	1143.00	1	96	p < .001	p < .001	0.923	1.000	F(1, 96) = 1143.00, p < .001, ηp² = .92
Hierarchy * Caudate_Putamen	628.23	2	192	p < .001	p < .001	0.867	0.861	F(1.72, 165.33) = 628.23, p < .001 (GG ε=0.86), ηp² = .87
