Contrast	hemisphere	A	B	W	p	p_fdr	stat_str	stat_str_fdr
hemisphere * Cortex_ROI	Right	IntraCalc	TempOccFus	137.0	p < .001	p < .001	W = 137.0, p < .001	W = 137.0, q < .001
hemisphere * Cortex_ROI	Right	LOCinf	LOCsup	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	LOCinf	OccFus	67.0	p < .001	p < .001	W = 67.0, p < .001	W = 67.0, q < .001
hemisphere * Cortex_ROI	Right	LOCinf	OccPole	12.0	p < .001	p < .001	W = 12.0, p < .001	W = 12.0, q < .001
hemisphere * Cortex_ROI	Right	LOCinf	SupraCalc	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	LOCinf	TempOccFus	61.0	p < .001	p < .001	W = 61.0, p < .001	W = 61.0, q < .001
hemisphere * Cortex_ROI	Right	LOCsup	OccFus	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	LOCsup	OccPole	6.0	p < .001	p < .001	W = 6.0, p < .001	W = 6.0, q < .001
hemisphere * Cortex_ROI	Right	LOCsup	SupraCalc	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	LOCsup	TempOccFus	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	OccFus	OccPole	971.0	p < .001	p < .001	W = 971.0, p < .001	W = 971.0, q < .001
hemisphere * Cortex_ROI	Right	OccFus	SupraCalc	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	OccFus	TempOccFus	4.0	p < .001	p < .001	W = 4.0, p < .001	W = 4.0, q < .001
hemisphere * Cortex_ROI	Right	OccPole	SupraCalc	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
hemisphere * Cortex_ROI	Right	OccPole	TempOccFus	1.0	p < .001	p < .001	W = 1.0, p < .001	W = 1.0, q < .001
hemisphere * Cortex_ROI	Right	SupraCalc	TempOccFus	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
