source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Cortex_ROI	979.36	6	576	p < .001	p < .001	0.911	0.381	F(2.28, 219.35) = 979.36, p < .001 (GG ε=0.38), ηp² = .91
Rostral_Caudal	1475.64	1	96	p < .001	p < .001	0.939	1.000	F(1, 96) = 1475.64, p < .001, ηp² = .94
Cortex_ROI * Rostral_Caudal	893.25	6	576	p < .001	p < .001	0.903	0.330	F(1.98, 190.11) = 893.25, p < .001 (GG ε=0.33), ηp² = .90
