Contrast	Cortex_Category	A	B	W	p	p_fdr	stat_str	stat_str_fdr
Cortex_Category	-	Auditory	Prefrontal	182.0	p < .001	p < .001	W = 182.0, p < .001	W = 182.0, q < .001
Cortex_Category	-	Auditory	Visual	1983.0	p = .157	p = .157	W = 1983.0, p = .157	W = 1983.0, q = .157
Cortex_Category	-	Prefrontal	Visual	254.0	p < .001	p < .001	W = 254.0, p < .001	W = 254.0, q < .001
Caudate_Putamen	-	Caudate	Putamen	0.0	p < .001	n/a	W = 0.0, p < .001	W = 0.0
Cortex_Category * Caudate_Putamen	Auditory	Caudate	Putamen	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
Cortex_Category * Caudate_Putamen	Prefrontal	Caudate	Putamen	1284.0	p < .001	p < .001	W = 1284.0, p < .001	W = 1284.0, q < .001
Cortex_Category * Caudate_Putamen	Visual	Caudate	Putamen	0.0	p < .001	p < .001	W = 0.0, p < .001	W = 0.0, q < .001
