source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Hierarchy	689.10	2.0	192.0	p < .001				F(2, 192) = 689.10, p < .001
Caudate_Putamen	1143.00	1.0	96.0	p < .001				F(1, 96) = 1143.00, p < .001
Rostral_Caudal	1009.15	1.0	96.0	p < .001				F(1, 96) = 1009.15, p < .001
Hierarchy:Caudate_Putamen	628.23	2.0	192.0	p < .001				F(2, 192) = 628.23, p < .001
Hierarchy:Rostral_Caudal	573.35	2.0	192.0	p < .001				F(2, 192) = 573.35, p < .001
Caudate_Putamen:Rostral_Caudal	966.23	1.0	96.0	p < .001				F(1, 96) = 966.23, p < .001
Hierarchy:Caudate_Putamen:Rostral_Caudal	590.02	2.0	192.0	p < .001				F(2, 192) = 590.02, p < .001
