source	F	df_num	df_den	p	p_gg	np2	eps	stat_str
Hierarchy	725.66	2	192	p < .001	p < .001	0.883	0.687	F(1.37, 131.92) = 725.66, p < .001 (GG ε=0.69), ηp² = .88
Rostral_Caudal	1378.28	1	96	p < .001	p < .001	0.935	1.000	F(1, 96) = 1378.28, p < .001, ηp² = .93
Hierarchy * Rostral_Caudal	822.88	2	192	p < .001	p < .001	0.896	0.674	F(1.35, 129.41) = 822.88, p < .001 (GG ε=0.67), ηp² = .90
